id,topic,marks,prompt
A1,Structure of atoms,1,What creative idea did Democritus have about matter that led to the idea of atoms?
A2,Structure of atoms,1,"In Rutherford's experiment, what did he fire at a thin sheet of gold foil?"
A3,Structure of atoms,1,What was the curved screen used for in Rutherford's experiment?
A4,Structure of atoms,2,Rutherford noticed most particles passed through but a few were deflected. What did this show about (a) empty space in the atom and (b) where most mass is?
A5,Structure of atoms,2,How are a proton and neutron (a) similar and (b) different?
A6,Structure of atoms,1,Compare the electrical charge of a proton with an electron.
A7,Structure of atoms,2,What holds electrons inside an atom? Explain simply.
B1,Mixtures & impurities,2,What is a pure substance?
B2,Mixtures & impurities,1,What is an impurity?
B3,Mixtures & impurities,2,"Two reactants made a product, but the product still contained one reactant. Give two reasons how this could happen."
B4,Mixtures & impurities,2,Why should you keep a reaction at the correct temperature for the correct amount of time (for purity/yield)?
B5,Mixtures & impurities,1,A salt solution has a high concentration. What does this mean?
B6,Mixtures & impurities,2,You pour orange juice into a larger glass of water. (a) What happens to the colour? (b) Explain why.
C1,Reactivity of metals,1,Why is sodium kept under oil?
C2,Reactivity of metals,1,What happens to copper when it is heated strongly in oxygen?
C3,Reactivity of metals,1,What happens to gold when it is heated in oxygen?
C4,Reactivity of metals,1,"If a metal reacts with oxygen, what is the product called (general name)?"
C5,Reactivity of metals,2,"If a metal reacts with cold water, what are the usual products?"
C6,Reactivity of metals,1,Name two metals that float on water.
C7,Reactivity of metals,1,What is phenolphthalein and what is it used for when testing metals with water?
C8,Reactivity of metals,2,What is the purpose of the reactivity series and what tests are used to set it up? Name at least two tests.
D1,Exothermic & endothermic reactions,1,"If something is on fire, what chemical reaction is taking place?"
D2,Exothermic & endothermic reactions,2,State three examples of a fuel.
D3,Exothermic & endothermic reactions,1,What are fuels used for?
D4,Exothermic & endothermic reactions,2,Describe how you could use a beaker of water and a thermometer to show burning fuel is exothermic.
D5,Exothermic & endothermic reactions,1,What exothermic reaction happens in our bodies to keep us warm?
D6,Exothermic & endothermic reactions,1,"When you eat sherbet, why does it feel cool?"
D7,Exothermic & endothermic reactions,2,What kind of reaction occurs in (a) the fuel when cooking food and (b) the food as it cooks?
D8,Exothermic & endothermic reactions,2,"Explain what happens when an instant ice pack is squeezed, and how it helps an injury."
