id,topic,marks,prompt
AT1,Structure of atoms,1,What is an atom?
AT2,Structure of atoms,2,Name the three subatomic particles and state their charges.
AT3,Structure of atoms,2,"Where are protons, neutrons and electrons found in an atom?"
AT4,Structure of atoms,2,Explain why an atom is electrically neutral.
AT5,Structure of atoms,2,"An atom has atomic number 11 and mass number 23. How many protons, neutrons and electrons does it have?"
AT6,Structure of atoms,2,Draw (or describe) a simple atom model for oxygen (atomic number 8): show the nucleus and electron shells.
AT7,Structure of atoms,2,What is an ion? Explain what changes when a sodium atom becomes a sodium ion (Na+).
AT8,Structure of atoms,3,Rutherford’s experiment showed that most alpha particles passed through gold foil. What does this suggest about (a) space inside atoms and (b) the nucleus?
AT9,Structure of atoms,3,"Put these scientists in time order and write one sentence about what each contributed: Democritus, Thomson, Rutherford, Chadwick."
MI1,Mixtures & impurities,2,What is the difference between an element and a compound?
MI2,Mixtures & impurities,2,What is a mixture? Give one example of a mixture and one example of a pure substance.
MI3,Mixtures & impurities,2,Define: (a) pure substance (b) impurity.
MI4,Mixtures & impurities,3,A student mixes sand and salt in water. Describe how to separate the sand and salt to get dry salt crystals.
MI5,Mixtures & impurities,2,What is a solution? Identify the solute and solvent in salt water.
MI6,Mixtures & impurities,3,Solution A has 5 g of salt in 100 cm3 of water. Solution B has 8 g of salt in 200 cm3 of water. Which solution is more concentrated? Explain.
MI7,Mixtures & impurities,2,What is paper chromatography used for? Give two uses.
MI8,Mixtures & impurities,3,"In chromatography, a dye makes two spots. What does this tell you about the dye? Explain."
MI9,Mixtures & impurities,2,A product still contains leftover reactant after a reaction. Give two reasons why this might happen.
RM1,Reactivity of metals,1,Why is sodium kept under oil?
RM2,Reactivity of metals,2,Write the word equation for: metal + oxygen → ?
RM3,Reactivity of metals,2,Write the word equation for: metal + water → ? (include hydrogen)
RM4,Reactivity of metals,2,What happens when copper is heated strongly in oxygen? Name the product.
RM5,Reactivity of metals,2,Why does gold not change when heated in oxygen?
RM6,Reactivity of metals,3,A metal reacts with water and forms a gas that makes a squeaky pop with a lit splint. Name the gas and describe one test for it.
RM7,Reactivity of metals,3,"Metal X reacts vigorously with cold water. Metal Y reacts slowly with steam. Metal Z does not react with water. Put X, Y and Z in order of reactivity (most to least) and explain."
RM8,Reactivity of metals,2,What is phenolphthalein and what colour change shows an alkali is made?
RM9,Reactivity of metals,3,What is rust? State two conditions needed for rusting and one way to prevent rust.
EN1,Exothermic & endothermic reactions,2,Define exothermic and endothermic reactions in terms of energy transfer.
EN2,Exothermic & endothermic reactions,2,"If the temperature of the surroundings increases during a reaction, is it exothermic or endothermic? Explain."
EN3,Exothermic & endothermic reactions,2,Name two reactions/processes that are exothermic and two that are endothermic.
EN4,Exothermic & endothermic reactions,1,"If something is on fire, what chemical reaction is happening?"
EN5,Exothermic & endothermic reactions,2,State three examples of a fuel.
EN6,Exothermic & endothermic reactions,3,Describe how to use a beaker of water and a thermometer to show that burning a fuel is exothermic. What measurements would you record?
EN7,Exothermic & endothermic reactions,2,What exothermic reaction happens inside our bodies to keep us warm?
EN8,Exothermic & endothermic reactions,3,"Sherbet feels cool in your mouth. Explain why, using the idea of energy transfer."
EN9,Exothermic & endothermic reactions,3,An instant ice pack gets cold when squeezed. Explain what is happening and how it helps an injury.
