id,topic,marks,prompt
AOE1,Age of Exploration: Great Voyages of Discovery,1,What is meant by the 'Age of Exploration'?
AOE2,Age of Exploration: Great Voyages of Discovery,2,Give two reasons why European countries wanted to explore overseas in the 1400s–1500s.
AOE3,Age of Exploration: Desire and Opportunity to Explore,3,"Explain how improved navigation or ship technology helped explorers travel further. Give two examples (e.g., compass, astrolabe, caravel, lateen sail) and explain what each did."
AOE4,Age of Exploration: Desire and Opportunity to Explore,3,Many Europeans wanted spices. Explain why spices were valuable in Europe and how this created 'opportunity to explore'.
AOE5,Age of Exploration: Portuguese Explorations,2,Name two Portuguese explorers and state one achievement for each.
AOE6,Age of Exploration: Portuguese Explorations,3,Why was Portugal interested in finding a sea route to Asia around Africa? Give two reasons.
AOE7,Age of Exploration: Spanish Explorations,2,Name one Spanish-sponsored voyage and state what it discovered or achieved.
AOE8,Age of Exploration: Spanish Explorations,4,Explain two consequences of Columbus’s voyages for (a) Europeans and (b) Indigenous peoples in the Americas.
AOE9,Age of Exploration: English and French in America,3,"Give one English and one French explorer linked to North America and explain the main aim of each voyage (e.g., trade route, land claim, resources)."
AOE10,Age of Exploration: English and French in America,4,Explain two reasons why England and France wanted colonies in the Americas. Include one economic reason and one political/religious reason.
AOE11,Age of Exploration: A New European Worldview,3,"How did exploration change Europeans’ worldview? Give three changes (e.g., maps/knowledge, ideas about people/cultures, trade connections)."
AOE12,Age of Exploration: A New European Worldview,6,"‘Exploration was more about profit than curiosity.’ How far do you agree? Give one argument supporting the statement, one argument challenging it, and a conclusion."
CE1,The Columbian Exchange: Overview,2,What is the Columbian Exchange? Mention what was exchanged and between which regions.
CE2,The Columbian Exchange: Plants and Animals,2,Name two crops that moved from the Americas to Europe/Africa/Asia and two animals that moved from Europe/Africa/Asia to the Americas.
CE3,The Columbian Exchange: Plants and Animals,3,Explain how the introduction of new crops (such as potatoes or maize) could change population growth in parts of Europe or Asia.
CE4,The Columbian Exchange: Plants and Animals,4,Diseases were part of the Columbian Exchange. Explain what happened when Old World diseases reached the Americas and why the impact was so severe.
CE5,The Columbian Exchange: Culture and Technology,3,"Give two examples of cultural or technological exchange during this period (e.g., religion, language, tools, weapons, farming). Explain one effect for each."
CE6,The Columbian Exchange: Society and the Economy,4,"Explain two ways the Columbian Exchange changed the economy in Europe (e.g., new goods, trade routes, wealth, prices)."
CE7,The Columbian Exchange: Society and the Economy,4,"Explain two ways the Columbian Exchange changed societies in the Americas (e.g., labour systems, land use, cities, social hierarchy)."
CE8,The Columbian Exchange: Society and the Economy,4,What role did slavery play in the Columbian Exchange? Explain how it connected to plantations and global trade.
CE9,The Columbian Exchange: Evaluation,6,"‘The Columbian Exchange brought more benefits than harm.’ Write a balanced answer: include two benefits, two harms, and a final judgement."
CAP1,Origins of Capitalism: A New Economy,2,What is capitalism in simple terms? Include the ideas of private ownership and profit.
CAP2,Origins of Capitalism: A New Economy,3,Explain how long-distance trade helped create a 'new economy' in Europe. Give two points.
CAP3,Origins of Capitalism: New Trading Patterns,3,"Describe two ways trading patterns changed from the medieval period to the Age of Exploration (e.g., Mediterranean to Atlantic, global routes, new goods)."
CAP4,Origins of Capitalism: New Trading Patterns,4,"Choose one product (e.g., sugar, tobacco, spices, silver). Explain how it was linked to global trade and profit-making."
CAP5,Origins of Capitalism: Power Shifts in Europe,3,How did overseas exploration shift power between European countries? Give two examples of countries gaining or losing influence.
CAP6,Origins of Capitalism: Power Shifts in Europe,4,"Explain two reasons why some European port cities grew wealthy and important during this time (e.g., Lisbon, Seville, Amsterdam, London)."
CAP7,Origins of Capitalism: Market Economies,2,"What is a market economy? Mention supply, demand, prices, or competition."
CAP8,Origins of Capitalism: Market Economies,4,"Explain how banks, loans, or joint-stock companies helped trade and exploration. Give two ways they reduced risk or raised money."
CAP9,Origins of Capitalism: Comparison,4,"Compare a feudal economy with a capitalist/market economy. Give two differences (e.g., land vs money, peasants vs wage labour, local vs global trade)."
CAP10,Origins of Capitalism: Extended Response,6,‘Exploration and trade were the main causes of the rise of capitalism.’ How far do you agree? Use at least three explained points and reach a conclusion.
SBQ1,Skills: Source-based (Exploration),4,"Source A: 'We sail to seek spices and gold, and to spread our faith.' What does Source A suggest about motives for exploration? Give two inferences supported by the source."
SBQ2,Skills: Source-based (Columbian Exchange),4,"Source B: 'After the new crop arrived, more families had food through winter.' What can you infer about the effect of new crops? Give two inferences."
SBQ3,Skills: Source-based (Capitalism),4,Source C: 'Many investors shared the cost of the voyage and shared the profit.' What does Source C suggest about new business methods? Explain two points.
